frame,t_sec,u0,u1,u2,u3,u4,u5
0,0.000000,0.089251,0.773956,0.654571,0.438878,0.433015,0.858598
1,0.016667,0.088841,0.772520,0.646004,0.432200,0.434732,0.861194
2,0.033333,0.087772,0.770783,0.635511,0.423757,0.436754,0.865002
3,0.050000,0.086115,0.768767,0.623251,0.413704,0.439057,0.869901
4,0.066667,0.083944,0.766498,0.609381,0.402193,0.441619,0.875772
5,0.083333,0.081332,0.763999,0.594059,0.389379,0.444419,0.882493
6,0.100000,0.078352,0.761294,0.577444,0.375414,0.447434,0.889946
7,0.116667,0.075076,0.758408,0.559693,0.360452,0.450641,0.898009
8,0.133333,0.071577,0.755364,0.540965,0.344646,0.454020,0.906563
9,0.150000,0.067929,0.752187,0.521417,0.328151,0.457546,0.915487
10,0.166667,0.064205,0.748901,0.501208,0.311119,0.461199,0.924661
11,0.183333,0.060476,0.745530,0.480495,0.293705,0.464956,0.933965
12,0.200000,0.056817,0.742098,0.459437,0.276060,0.468794,0.943280
13,0.216667,0.053301,0.738629,0.438191,0.258340,0.472691,0.952483
14,0.233333,0.049999,0.735147,0.416916,0.240697,0.476626,0.961457
15,0.250000,0.046985,0.731676,0.395770,0.223285,0.480575,0.970079
16,0.266667,0.044333,0.728241,0.374910,0.206257,0.484517,0.978231
17,0.283333,0.042114,0.724866,0.354495,0.189767,0.488430,0.985792
18,0.300000,0.040402,0.721574,0.334683,0.173969,0.492291,0.992642
19,0.316667,0.039270,0.718389,0.315632,0.159015,0.496077,0.998660
20,0.333333,0.038791,0.715337,0.297499,0.145060,0.499768,1.000000
21,0.350000,0.039038,0.712440,0.280443,0.132256,0.503339,1.000000
22,0.366667,0.040083,0.709724,0.264622,0.120758,0.506770,1.000000
23,0.383333,0.041999,0.707212,0.250194,0.110719,0.510038,1.000000
24,0.400000,0.044860,0.704928,0.237316,0.102291,0.513121,1.000000
25,0.416667,0.048739,0.702896,0.226148,0.095629,0.515996,1.000000
26,0.433333,0.053708,0.701141,0.216846,0.090887,0.518641,1.000000
27,0.450000,0.059840,0.699687,0.209570,0.088217,0.521034,1.000000
28,0.466667,0.067208,0.698557,0.204476,0.087773,0.523153,0.995585
29,0.483333,0.075886,0.697776,0.201723,0.089709,0.524975,0.986680
30,0.500000,0.085946,0.697368,0.201469,0.094177,0.526479,0.975622
31,0.516667,0.097727,0.697509,0.203970,0.101691,0.527870,0.961510
32,0.533333,0.111434,0.698321,0.209251,0.112500,0.529352,0.943715
33,0.550000,0.126931,0.699746,0.217120,0.126366,0.530904,0.922527
34,0.566667,0.144087,0.701728,0.227391,0.143052,0.532501,0.898238
35,0.583333,0.162768,0.704209,0.239873,0.162318,0.534120,0.871136
36,0.600000,0.182841,0.707132,0.254378,0.183928,0.535737,0.841512
37,0.616667,0.204172,0.710440,0.270716,0.207641,0.537329,0.809656
38,0.633333,0.226628,0.714075,0.288699,0.233221,0.538873,0.775858
39,0.650000,0.250077,0.717981,0.308136,0.260429,0.540346,0.740409
40,0.666667,0.274384,0.722100,0.328839,0.289028,0.541723,0.703597
